gene,logFC,AveExpr,t,P.Value,padj,B
DMPK,-2.05256389956045,4.2505759293831265,-6.164024833148251,5.872373219188935e-7,2.5079185829021026e-5,6.099978755658022
PIK3CD,-1.227834275769638,8.131221589517779,-6.162862823608364,5.892462415154181e-7,2.508053465564283e-5,6.096688613857443
USP24,-1.1245632453201193,6.934584508184656,-6.159951273226043,5.943102484166446e-7,2.5211475554905418e-5,6.088444469950726
LOC101928378,-1.8655885367459324,4.82880274158022,-6.158526915513462,5.968035370256898e-7,2.5232853545446167e-5,6.084411196518381
ALG13,-0.9301914087912676,5.595864560139079,-6.151952573699688,6.084487988366456e-7,2.5506801605571326e-5,6.065793639162671
SMG1P3,-2.865083705202407,1.8388672286488872,-6.151474195964391,6.093050293705565e-7,2.5506801605571326e-5,6.06443885743845
KIAA0319L,-0.7706447981348543,6.278680540590827,-6.151468214423263,6.093157431794475e-7,2.5506801605571326e-5,6.064421917439558
DONSON,-0.8407487034722144,3.363026703566368,-6.149845126740729,6.122299441543389e-7,2.5544488854123795e-5,6.059825190620234
POM121,-1.863006330070245,5.234374206758613,-6.146340877102245,6.185696230806768e-7,2.5640317317501e-5,6.049900386729949
LINC01061,-2.922022918533146,1.6928673387080735,-6.127503267668819,6.537988563557114e-7,2.66720518797857e-5,5.996537460399503
DTX3,-1.1876663754425216,4.861197803076545,-6.127412110979016,6.539741512624844e-7,2.66720518797857e-5,5.996279189624657
CDC42SE1,-1.1159986711690002,8.57699704299495,-6.121737828966231,6.649794213619616e-7,2.7033971091522824e-5,5.9802016508633695
POU6F1,-2.085795989488191,3.8516219968939316,-6.1195223096761815,6.693268238605387e-7,2.7037393101423797e-5,5.973923755467945
AP1G1,-1.2242796693461881,6.496158182775615,-6.109909310378112,6.885235350917212e-7,2.753319694395443e-5,5.946681574608601
ZNF783,-0.9725033553817964,5.43255127577567,-6.104054757231499,7.004851782798272e-7,2.771730245608983e-5,5.930088216612889
SMG1P7,-1.61554890587118,2.6109399046983586,-6.1000381505949335,7.08812329337577e-7,2.771730245608983e-5,5.9187031334839055
NLGN2,-2.7614375233835493,1.9069031707062325,-6.098103942612635,7.128577372286601e-7,2.771730245608983e-5,5.9132203402261485
VAC14,-1.143368043670122,4.370279792102497,-6.0973184975369445,7.145071226329011e-7,2.771730245608983e-5,5.910993831274331
NPHP4,-1.5407739175471566,3.664116314349216,-6.095218125222604,7.189366531104978e-7,2.771730245608983e-5,5.9050397410027475
SLC11A2,-1.0282783267650997,5.806819682981138,-6.092506835147949,7.246954263884636e-7,2.785465693427658e-5,5.897353525114772
GRAMD1A,-1.2969904215580381,6.333805030271507,-6.083915497488125,7.432516260400056e-7,2.8225759355363567e-5,5.872995721914856
CCDC93,-1.03450060919816,5.658343431680702,-6.082445779700031,7.464735620331302e-7,2.8263494509934998e-5,5.868828493628456
PDXDC2P,-2.1458261271138075,4.221219205377402,-6.076639289641412,7.5934058766634e-7,2.846156011568276e-5,5.852363830415907
PRDM10,-1.100324947678005,3.7450868624493583,-6.075397174523569,7.621219116338027e-7,2.846156011568276e-5,5.848841533913706
LOC100289019,-2.7323762739155355,3.8619554756879535,-6.072042691188676,7.696845158604034e-7,2.8545843272436717e-5,5.839328789075765
EZH1,-1.5651720120915011,6.006866261625808,-6.065082614934142,7.856174418810744e-7,2.8883396037158107e-5,5.819589559164896
BTBD19,-2.44085510820339,1.9774306241328117,-6.062095181340721,7.92557574432487e-7,2.897885882409314e-5,5.811116330461767
URGCP,-1.0671078784662567,4.343338844543992,-6.059043157649945,7.997114232386536e-7,2.901749716335165e-5,5.802459491499365
ATG9A,-1.8487076844764663,5.129770239402247,-6.048260969699703,8.255084147338589e-7,2.9746445262739388e-5,5.771873296042996
MIR3064,-3.3426545316297394,2.749754503020983,-6.040645745135184,8.44230884916115e-7,3.0288441629508644e-5,5.750267853271318
GNPTAB,-0.7726474065935683,6.570823854985914,-6.036136160202769,8.555186102529513e-7,3.0567318457601226e-5,5.737472352888474
WDR27,-1.1036399853234702,3.875557143271573,-6.03367031700606,8.617547802113586e-7,3.061764042633298e-5,5.730475397356393
UNKL,-1.0320104972583548,5.671624290068284,-6.014727823688853,9.112098839880453e-7,3.1990379292857766e-5,5.676716524479058
ZNF548,-0.6715732580429029,5.410814234890462,-6.0140609581094395,9.130019949554172e-7,3.1990379292857766e-5,5.674823684154697
UNC5CL,-1.497523659399568,3.4204038046516145,-6.005174157097227,9.37225014493013e-7,3.253262213660282e-5,5.649597525447483
CTAGE5,-0.7240564319362806,5.183841876397453,-5.992363923776686,9.73283462473754e-7,3.33652092919381e-5,5.6132286521617765
HGSNAT,-0.9422611356131437,5.908363573170713,-5.9898152094580785,9.80622248603094e-7,3.352617951827937e-5,5.605991949242357
LOC100130744,-2.481805530626015,3.071903193411556,-5.969489800757284,1.0411730041347447e-6,3.5202232239524696e-5,5.548271873018011
IL4R,-1.2208294527071384,7.04750445137301,-5.962321350256676,1.063412929782604e-6,3.5431236922506475e-5,5.527911159979714
TSNARE1,-1.1811470209428028,4.494197566991386,-5.962045592485667,1.064277930264504e-6,3.5431236922506475e-5,5.527127880561586
SUV420H2,-2.4513894085661203,2.6685056278315957,-5.960504819103272,1.0691240738487705e-6,3.549939725837122e-5,5.522751320656095
ASXL1,-1.3945833857962562,6.848958932937875,-5.951277562314862,1.0986137752611346e-6,3.6288586264094355e-5,5.49653950936132
ITGB1BP2,-1.5031828930458253,1.2385730481994268,-5.946926149962994,1.1128028133225782e-6,3.645513320645179e-5,5.484177403089607
SFI1,-2.4601469795264723,5.645853550956282,-5.944834986457285,1.1196870083607021e-6,3.6509280241766444e-5,5.478236288156971
HDAC7,-2.1090459969395274,6.1709829559704,-5.943686659656522,1.1234855274834822e-6,3.6539206232308944e-5,5.474973759549966
DBF4B,-1.5923479419654298,2.028207528310987,-5.941226565966909,1.131666834994893e-6,3.661750544662046e-5,5.467984192003627
KIAA1683,-1.6825225521797962,3.428471937175778,-5.934404004601601,1.154670504718585e-6,3.71211156814268e-5,5.448598951120854
WDR75,-0.7291380554050497,5.629114224111051,-5.924327846646735,1.1895063096001588e-6,3.776150230674064e-5,5.419966157716665
